id,latitude,longitude,part_nmbr,serial_nmbr,information,information2,dimension,weight,origin,mobileapp_version_number,gps_precision,gps_age,gps_altitude,organizations_id,users_id,created,modified,modified_merged,crud,deleted,modified_timezone,object_categories_id,object_types_id,object_events_id,object_statuses_id,Detected
412404648,56.308522266673,10.62528293637,,,,,,,MobileApp,6.1.6373,0,1586894372940,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:59:32,U,,2020-04-14T19:59:32,100533,301432,500772,701063,42069
412404649,56.308766186074,10.626064081725,,,,,,,MobileApp,6.1.6229,0,1591616250352,0,241136,630302021,2020-04-14T18:27:49,2020-06-08T11:37:37,2020-06-08T11:37:30,U,,2020-06-08T11:37:30,100533,301432,500772,701063,42069
412404650,56.308599146062,10.626124619965,,,,,,,MobileApp,6.1.6368,0,1586888271370,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T18:27:49,2020-04-14T18:17:51,C,,2020-04-14T18:17:51,100533,301432,500772,701063,42069
412404651,56.308641517984,10.625877945087,,,,,,,MobileApp,6.1.6373,0,1586894422851,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T20:00:22,U,,2020-04-14T20:00:22,100533,301432,500772,701063,42069
412404652,56.308537401987,10.62592527487,,,,,,,MobileApp,6.1.6229,0,1591616262107,0,241136,630302021,2020-04-14T18:27:49,2020-06-08T11:39:17,2020-06-08T11:37:42,U,,2020-06-08T11:37:42,100533,301432,500772,701063,42069
412404653,56.308374215658,10.625995037108,,,,,,,MobileApp,6.1.6385,0,1599486240559,0,241136,630302021,2020-04-14T18:27:49,2020-09-07T13:46:34,2020-09-07T13:44:00,U,,2020-09-07T13:44:00,100533,301432,500772,701064,42069
412404654,56.308345006654,10.626281649767,,,,,,,MobileApp,6.1.6385,3.8975417613983,1599487578000,59.738647460938,241136,630302021,2020-04-14T18:27:49,2020-09-07T14:15:19,2020-09-07T14:06:18,U,,2020-09-07T14:06:18,100533,301432,500772,701064,42069
412404655,56.308360072939,10.625755833205,,,,,,,MobileApp,6.1.6373,0,1587130735032,0,241136,630302021,2020-04-14T18:27:49,2020-04-17T13:39:59,2020-04-17T13:38:55,U,,2020-04-17T13:38:55,100533,301432,500772,701063,42069
412404656,56.308233363133,10.625928854794,,,,,,,MobileApp,6.1.6368,0,1586888329186,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T18:27:49,2020-04-14T18:18:49,C,,2020-04-14T18:18:49,100533,301432,500772,701063,42069
412404657,56.308289530089,10.626152366147,,,,,,,MobileApp,6.1.6229,0,1591616282248,0,241136,630302021,2020-04-14T18:27:49,2020-06-08T11:39:17,2020-06-08T11:38:02,U,,2020-06-08T11:38:02,100533,301432,500772,701063,42069
412404658,56.308199938524,10.626256442728,,,,,,,MobileApp,6.1.6229,0,1591616289836,0,241136,630302021,2020-04-14T18:27:49,2020-06-08T11:39:17,2020-06-08T11:38:09,U,,2020-06-08T11:38:09,100533,301432,500772,701063,42069
